		1066 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1069 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1073 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1076 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1080 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1083 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1087 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1090 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1094 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1097 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1101 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1104 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1108 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1111 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1115 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1118 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1122 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1125 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1129 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1132 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1136 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1139 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1143 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1146 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1150 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1153 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1157 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1160 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1164 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1167 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1171 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1174 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1178 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1181 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1185 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1188 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1192 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1195 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1199 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1202 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1206 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1209 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1213 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1216 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1220 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1223 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1227 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1230 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1234 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1237 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1241 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1244 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1248 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1251 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1255 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1258 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1262 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1265 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1269 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1272 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1276 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1279 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1283 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1286 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1290 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1293 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1297 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1300 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1304 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1307 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1314 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1317 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1321 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1324 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1328 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1331 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1335 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1338 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1342 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1345 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1349 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1352 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1356 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1359 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1363 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1366 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1370 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1373 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1377 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1380 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1384 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1387 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1391 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1394 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1398 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1401 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1405 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1408 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1412 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1415 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1419 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1422 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1426 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1429 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1433 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1436 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1440 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1443 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1447 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1450 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1454 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1457 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1461 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1464 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1468 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1471 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
